일자,기관 합계,기타법인,개인,외국인 합계,전체
2025-02-10,2435,7,17840,-20282,0
2025-02-07,9005,2689,31797,-43491,0
2025-02-06,4,200,-6501,6297,0
2025-02-05,-298,0,-12907,13205,0
2025-02-04,5,0,20154,-20159,0
2025-02-03,-8687,362,-51850,60175,0
2025-01-31,314,1370,85330,-87014,0
2025-01-24,7004,411,734,-8149,0
2025-01-23,-2497,0,18740,-16243,0
2025-01-22,15503,0,-14732,-771,0
2025-01-21,4004,-166,29438,-33276,0
2025-01-20,-1505,-28,-21011,22544,0
2025-01-17,27,135,42992,-43154,0
2025-01-16,4,-108,21328,-21224,0
2025-01-15,-12705,-66,12457,314,0
2025-01-14,4,-23,3475,-3456,0
2025-01-13,917,-213,38256,-38960,0
2025-01-10,4,-3397,50753,-47360,0
2025-01-09,11890,2969,-54531,39672,0
2025-01-08,8899,0,-76668,67769,0
2025-01-07,3951,3000,5178,-12129,0
2025-01-06,699,1000,-19551,17852,0
2025-01-03,6587,0,-24718,18131,0
2025-01-02,-5559,0,30233,-24674,0
2024-12-30,-1655,0,-27659,29314,0
2024-12-27,-2817,-7,-5116,7940,0
2024-12-26,-41,-200,-19134,19375,0
2024-12-24,50,-2,534,-582,0
2024-12-23,295,-190,-20457,20352,0
2024-12-20,4,0,65913,-65917,0
2024-12-19,8,-59,17217,-17166,0
2024-12-18,-350,58,961,-669,0
2024-12-17,59,-4,-23047,22992,0
2024-12-16,-6917,5,52570,-45658,0
2024-12-13,2182,-333,-12418,10569,0
2024-12-12,-28196,27,5123,23046,0
2024-12-11,-43,-14,9371,-9314,0
2024-12-10,-475,-9831,-116849,127155,0
2024-12-09,295,-2221,-51529,53455,0
2024-12-06,-719,5000,-45271,40990,0
2024-12-05,773,845,-1064,-554,0
2024-12-04,274,-22141,7784,14083,0
2024-12-03,-5,-3370,-39810,43185,0
2024-12-02,-839,-10000,7434,3405,0
2024-11-29,946,-2383,79432,-77995,0
2024-11-28,-312,11,-2064,2365,0
2024-11-27,-37,-1024,43871,-42810,0
2024-11-26,-696,-9719,3799,6616,0
2024-11-25,-1880,-945,-37236,40061,0
2024-11-22,1721,0,16520,-18241,0
2024-11-21,683,-3000,27860,-25543,0
2024-11-20,-2191,0,32000,-29809,0
2024-11-19,1788,3000,24762,-29550,0
2024-11-18,-793,0,5369,-4576,0
2024-11-15,-9405,0,22596,-13191,0
2024-11-14,10121,-1427,43804,-52498,0
2024-11-13,-165,-1,18180,-18014,0
2024-11-12,-5506,1,16720,-11215,0
2024-11-11,425,-3000,-27596,30171,0
2024-11-08,-866,0,34864,-33998,0
2024-11-07,-1057,-424,23791,-22310,0
2024-11-06,-1174,2000,-11932,11106,0
